#;Grupo taxonômico;Ordem;Família;Espécie ou Subespécie;Nome avaliação anterior;Categoria em 2014;Sugestão de Categoria 2021;EW;CR;EN,;VU;RE;EX;Mesma Categoria de Ameaça 2014;Aumentou a Categoria de Ameaça;Reduziu a Categoria de Ameaça;Entrou em Categoria de Ameaça;Saiu da Categoria de Ameaça;Mantida a Categoria 2014  por não ter reavaliação ou validação
183;Invertebrados Terrestres;Hymenoptera;Formicidae;Mycetagroicus urbanus;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
184;Invertebrados Terrestres;Hymenoptera;Formicidae;Mycetomoellerius atlanticus;Trachymyrmex atlanticus;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
185;Invertebrados Terrestres;Hymenoptera;Formicidae;Mycetophylax simplex;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
186;Invertebrados Terrestres;Hymenoptera;Formicidae;Rhopalothrix plaumanni;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
187;Invertebrados de Água Doce;Isopoda;Brasileirinidae;Brasileirinho cavaticus;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
188;Invertebrados de Água Doce;Isopoda;Calabozoidae;Pongycarcinia xiphidiourus;;;Em Perigo (EN);;;X;;;;;;;X;;
189;Invertebrados Terrestres;Isopoda;Pudeoniscidae;Iansaoniscus georginae;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
190;Invertebrados Terrestres;Isopoda;Pudeoniscidae;Iansaoniscus iraquara;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
191;Invertebrados Terrestres;Isopoda;Scleropactidae;Amazoniscus leistikowi;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
192;Invertebrados Terrestres;Isopoda;Scleropactidae;Circoniscus buckupi;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
193;Invertebrados Terrestres;Isopoda;Scleropactidae;Circoniscus carajasensis;;;Em Perigo (EN);;;X;;;;;;;X;;
194;Invertebrados Terrestres;Isopoda;Styloniscidae;Iuiuniscus iuiuensis;;;Vulnerável (VU);;;;X;;;;;;X;;
195;Invertebrados Terrestres;Isopoda;Styloniscidae;Spelunconiscus castroi;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
196;Invertebrados Terrestres;Isopoda;Styloniscidae;Xangoniscus aganju;;;Em Perigo (EN);;;X;;;;;;;X;;
197;Invertebrados Terrestres;Isopoda;Styloniscidae;Xangoniscus itacarambiensis;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
198;Invertebrados Terrestres;Isopoda;Styloniscidae;Xangoniscus odara;;;Em Perigo (EN);;;X;;;;;;;X;;
199;Invertebrados Terrestres;Lepidoptera;Crambidae;Parapoynx restingalis;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
200;Invertebrados Terrestres;Lepidoptera;Hesperiidae;Drephalys miersi;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
201;Invertebrados Terrestres;Lepidoptera;Hesperiidae;Drephalys mourei;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
202;Invertebrados Terrestres;Lepidoptera;Hesperiidae;Olafia roscius iphimedia;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
203;Invertebrados Terrestres;Lepidoptera;Hesperiidae;Parelbella polyzona;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
204;Invertebrados Terrestres;Lepidoptera;Hesperiidae;Pseudocroniades machaon seabrai;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
205;Invertebrados Terrestres;Lepidoptera;Hesperiidae;Turmosa camposa;Turmada camposa;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
206;Invertebrados Terrestres;Lepidoptera;Hesperiidae;Zonia zonia diabo;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
207;Invertebrados Terrestres;Lepidoptera;Lycaenidae;Arawacus aethesa;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
208;Invertebrados Terrestres;Lepidoptera;Lycaenidae;Magnastigma julia;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
209;Invertebrados Terrestres;Lepidoptera;Lycaenidae;Strymon ohausi;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
210;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Actinote quadra;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
211;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Actinote zikani;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
212;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Adelpha atlantica;;;Em Perigo (EN);;;X;;;;;;;X;;
213;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Dasyophthalma geraensis;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
214;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Dasyophthalma rusina delanira;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
215;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Dasyophthalma vertebralis;;Criticamente em Perigo (CR)(PEX);Criticamente em Perigo (CR)(PEX);;X;;;;;X;;;;;X
216;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Doxocopa zalmunna;;Criticamente em Perigo (CR)(PEX);Criticamente em Perigo (CR)(PEX);;X;;;;;X;;;;;X
217;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Episcada vitrea;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
218;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Eresia erysice erysice;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
219;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Euptychia boulleti;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
220;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Forsterinaria itatiaia;;;Vulnerável (VU);;;;X;;;;;;X;;
221;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Hamadryas velutina browni;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
222;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Heliconius nattereri;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
223;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Hyalyris fiammetta;;Criticamente em Perigo (CR)(PEX);Criticamente em Perigo (CR)(PEX);;X;;;;;X;;;;;X
224;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Hyalyris leptalina leptalina;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
225;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Mcclungia cymo fallens;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
226;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Melinaea mnasias thera;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
227;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Morpho epistrophus nikolajewna;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
228;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Morpho menelaus eberti;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
229;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Napeogenes rhezia rhezia;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
230;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Orobrassolis ornamentalis;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
231;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Pampasatyrus glaucope boenninghauseni;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
232;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Pampasatyrus glaucope eberti;;;Vulnerável (VU);;;;X;;;;;;X;;
233;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Pampasatyrus glaucope glaucope;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
234;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Pampasatyrus gyrtone;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
235;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Pampasatyrus reticulata gagarini;;;Em Perigo (EN);;;X;;;;;;;X;;
236;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Paulogramma hydarnis;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
237;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Polygrapha suprema;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
238;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Praepedaliodes sequeirae;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
239;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Prepona deiphile;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
240;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Scada karschina delicata;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
241;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Tithorea harmonia caissara;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
242;Invertebrados Terrestres;Lepidoptera;Nymphalidae;Yphthimoides iserhardi;;;Em Perigo (EN);;;X;;;;;;;X;;
243;Invertebrados Terrestres;Lepidoptera;Papilionidae;Heraclides himeros baia;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
244;Invertebrados Terrestres;Lepidoptera;Papilionidae;Heraclides himeros himeros;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
245;Invertebrados Terrestres;Lepidoptera;Papilionidae;Mimoides lysithous harrisianus;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
246;Invertebrados Terrestres;Lepidoptera;Papilionidae;Mimoides lysithous sebastianus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
247;Invertebrados Terrestres;Lepidoptera;Papilionidae;Parides ascanius;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
248;Invertebrados Terrestres;Lepidoptera;Papilionidae;Parides bunichus chamissonia;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
249;Invertebrados Terrestres;Lepidoptera;Papilionidae;Parides burchellanus;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
250;Invertebrados Terrestres;Lepidoptera;Papilionidae;Parides klagesi;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
251;Invertebrados Terrestres;Lepidoptera;Papilionidae;Parides panthonus castilhoi;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
252;Invertebrados Terrestres;Lepidoptera;Papilionidae;Parides tros danunciae;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
253;Invertebrados Terrestres;Lepidoptera;Pieridae;Charonias theano;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
254;Invertebrados Terrestres;Lepidoptera;Pieridae;Cunizza hirlanda fulvinota;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
255;Invertebrados Terrestres;Lepidoptera;Pieridae;Cunizza hirlanda planasia;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
256;Invertebrados Terrestres;Lepidoptera;Pieridae;Glennia pylotis;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
257;Invertebrados Terrestres;Lepidoptera;Pieridae;Moschoneura pinthous methymna;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
258;Invertebrados Terrestres;Lepidoptera;Pieridae;Perrhybris pamela flava;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
259;Invertebrados Terrestres;Lepidoptera;Riodinidae;Joiceya praeclarus;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
260;Invertebrados Terrestres;Lepidoptera;Riodinidae;Panara ovifera;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
261;Invertebrados Terrestres;Lepidoptera;Riodinidae;Petrocerus catiena;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
262;Invertebrados Terrestres;Lepidoptera;Riodinidae;Rhetus belphegor;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
263;Invertebrados Terrestres;Lepidoptera;Riodinidae;Voltinia sanarita;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
264;Invertebrados Terrestres;Lepidoptera;Saturniidae;Dirphia monticola;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
265;Invertebrados Terrestres;Lepidoptera;Sphingidae;Aleuron prominens;;Vulnerável (VU);Menos Preocupante (LC);;;;;;;;;;;X;
266;Invertebrados Terrestres;Lepidoptera;Sphingidae;Aleuron ypanemae;;Em Perigo (EN);Menos Preocupante (LC);;;;;;;;;;;X;
267;Invertebrados Terrestres;Lepidoptera;Sphingidae;Nyceryx mielkei;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
268;Invertebrados de Água Doce;Littorinimorpha;Pomatiopsidae;Spiripockia punctata;;Em Perigo (EN);Criticamente em Perigo (CR);;X;;;;;;X;;;;
269;Invertebrados Marinhos;Littorinimorpha;Strombidae;Eustrombus goliath;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
270;Invertebrados Marinhos;Littorinimorpha;Strombidae;Lobatus costatus;Aliger costatus;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;
271;Invertebrados Marinhos;Littorinimorpha;Vermetidae;Petaloconchus myrakeenae;;Criticamente em Perigo (CR);Vulnerável (VU);;;;X;;;;;X;;;
272;Invertebrados Marinhos;Neogastropoda;Olividae;Olivancillaria contortuplicata;;Criticamente em Perigo (CR);Dados Insuficientes (DD);;;;;;;;;;;X;
273;Invertebrados Marinhos;Neogastropoda;Olividae;Olivancillaria teaguei;;Criticamente em Perigo (CR);Dados Insuficientes (DD);;;;;;;;;;;X;
274;Invertebrados de Água Doce;Odonata;Aeshnidae;Castoraeschna januaria;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
275;Invertebrados de Água Doce;Odonata;Aeshnidae;Rhionaeschna eduardoi;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
276;Invertebrados de Água Doce;Odonata;Coenagrionidae;Homeoura lindneri;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
277;Invertebrados de Água Doce;Odonata;Coenagrionidae;Leptagrion acutum;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
278;Invertebrados de Água Doce;Odonata;Coenagrionidae;Leptagrion bocainense;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
279;Invertebrados de Água Doce;Odonata;Coenagrionidae;Leptagrion capixabae;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
280;Invertebrados de Água Doce;Odonata;Coenagrionidae;Leptagrion porrectum;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
281;Invertebrados de Água Doce;Odonata;Coenagrionidae;Leptagrion vriesianum;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
282;Invertebrados de Água Doce;Odonata;Gomphidae;Phyllocycla bartica;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
283;Invertebrados de Água Doce;Odonata;Libellulidae;Elasmothemis schubarti;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
284;Invertebrados de Água Doce;Odonata;Libellulidae;Macrothemis tessellata;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
285;Invertebrados de Água Doce;Odonata;Libellulidae;Micrathyria borgmeieri;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
286;Invertebrados de Água Doce;Odonata;Libellulidae;Micrathyria divergens;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
287;Invertebrados de Água Doce;Odonata;Megapodagrionidae;Heteragrion petiense;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
288;Invertebrados de Água Doce;Odonata;Pseudostigmatidae;Mecistogaster pronoti;;Criticamente em Perigo (CR)(PEX);Criticamente em Perigo (CR)(PEX);;X;;;;;X;;;;;X
289;Invertebrados Terrestres;Opiliones;Cryptogeobiidae;Spinopilar moria;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;
290;Invertebrados Terrestres;Opiliones;Escadabiidae;Spaeleoleptes spaeleus;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;
291;Invertebrados Terrestres;Opiliones;Gerdesiidae;Gonycranaus pluto;;;Vulnerável (VU);;;;X;;;;;;X;;
292;Invertebrados Terrestres;Opiliones;Gonyleptidae;Discocyrtus pedrosoi;;Menos Preocupante (LC);Vulnerável (VU);;;;X;;;;;;X;;
293;Invertebrados Terrestres;Opiliones;Gonyleptidae;Eusarcus elinae;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;
294;Invertebrados Terrestres;Opiliones;Gonyleptidae;Giupponia chagasi;;Criticamente em Perigo (CR);Em Perigo (EN);;;X;;;;;;X;;;
295;Invertebrados Terrestres;Opiliones;Gonyleptidae;Iandumoema setimapocu;;Em Perigo (EN);Vulnerável (VU);;;;X;;;;;X;;;
296;Invertebrados Terrestres;Opiliones;Gonyleptidae;Iandumoema smeagol;;;Em Perigo (EN);;;X;;;;;;;X;;
297;Invertebrados Terrestres;Opiliones;Gonyleptidae;Iandumoema uai;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;
298;Invertebrados Terrestres;Opiliones;Gonyleptidae;Pachylospeleus strinatii;;Em Perigo (EN);Criticamente em Perigo (CR);;X;;;;;;X;;;;
299;Invertebrados Terrestres;Opiliones;Kimulidae;Relictopiolus galadriel;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
300;Invertebrados Terrestres;Orthoptera;Phalangopsidae;Endecous apterus;;;Em Perigo (EN);;;X;;;;;;;X;;
301;Invertebrados Terrestres;Orthoptera;Phalangopsidae;Endecous peruassuensis;;;Em Perigo (EN);;;X;;;;;;;X;;
302;Invertebrados Marinhos;Ostreoida;Pectinidae;Euvola ziczac;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;
303;Invertebrados Terrestres;Palpigradi;Eukoeneniidae;Eukoenenia cavatica;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
304;Invertebrados Terrestres;Palpigradi;Eukoeneniidae;Eukoenenia eywa;;;Em Perigo (EN);;;X;;;;;;;X;;
305;Invertebrados Terrestres;Palpigradi;Eukoeneniidae;Eukoenenia jequitinhonha;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
306;Invertebrados Terrestres;Palpigradi;Eukoeneniidae;Eukoenenia maquinensis;;Criticamente em Perigo (CR);Vulnerável (VU);;;;X;;;;;X;;;
307;Invertebrados Terrestres;Palpigradi;Eukoeneniidae;Eukoenenia navi;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
308;Invertebrados Terrestres;Palpigradi;Eukoeneniidae;Eukoenenia neytiri;;;Em Perigo (EN);;;X;;;;;;;X;;
309;Invertebrados Terrestres;Palpigradi;Eukoeneniidae;Eukoenenia potiguar;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
310;Invertebrados Terrestres;Palpigradi;Eukoeneniidae;Eukoenenia sagarana;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;
311;Invertebrados Terrestres;Palpigradi;Eukoeneniidae;Eukoenenia spelunca;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;
312;Invertebrados Terrestres;Palpigradi;Eukoeneniidae;Eukoenenia virgemdalapa;;Em Perigo (EN);Criticamente em Perigo (CR);;X;;;;;;X;;;;
313;Invertebrados Terrestres;Palpigradi;Eukoeneniidae;Leptokoenenia pelada;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
314;Invertebrados Terrestres;Palpigradi;Eukoeneniidae;Leptokoenenia thalassophobica;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
315;Invertebrados Marinhos;Paxillosida;Astropectinidae;Astropecten articulatus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
316;Invertebrados Marinhos;Paxillosida;Astropectinidae;Astropecten brasiliensis;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
317;Invertebrados Marinhos;Paxillosida;Astropectinidae;Astropecten marginatus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
318;Invertebrados Marinhos;Paxillosida;Luidiidae;Luidia senegalensis;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
319;Invertebrados Terrestres;Poduromorpha;Brachystomellidae;Maricaella duna;;Menos Preocupante (LC);Criticamente em Perigo (CR);;X;;;;;;;;X;;
320;Invertebrados Terrestres;Poduromorpha;Hypogastruridae;Acherontides eleonorae;;Em Perigo (EN);Vulnerável (VU);;;;X;;;;;X;;;
321;Invertebrados Terrestres;Poduromorpha;Neanuridae;Aethiopella littoralis;;Menos Preocupante (LC);Criticamente em Perigo (CR);;X;;;;;;;;X;;
322;Invertebrados Terrestres;Poduromorpha;Neanuridae;Arlesia intermedia;;Menos Preocupante (LC);Criticamente em Perigo (CR);;X;;;;;;;;X;;
323;Invertebrados Terrestres;Poduromorpha;Neanuridae;Hyleanura mendoncae;;Dados Insuficientes (DD);Vulnerável (VU);;;;X;;;;;;X;;
324;Invertebrados Terrestres;Poduromorpha;Neanuridae;Micranurida fluminensis;;Menos Preocupante (LC);Criticamente em Perigo (CR);;X;;;;;;;;X;;
325;Invertebrados Terrestres;Poduromorpha;Onychiuridae;Agraphorura mariapetrae;;Menos Preocupante (LC);Criticamente em Perigo (CR);;X;;;;;;;;X;;
326;Invertebrados Terrestres;Poduromorpha;Tullbergiidae;Mesaphorura maricaensis;;Menos Preocupante (LC);Criticamente em Perigo (CR);;X;;;;;;;;X;;
327;Invertebrados Marinhos;Poecilosclerida;Latrunculiidae;Latrunculia janeirensis;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
328;Invertebrados Terrestres;Polydesmida;Chelodesmidae;Dioplosternus salvatrix;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
329;Invertebrados Terrestres;Polydesmida;Chelodesmidae;Leodesmus yporangae;;Criticamente em Perigo (CR);Em Perigo (EN);;;X;;;;;;X;;;
330;Invertebrados Terrestres;Polydesmida;Chelodesmidae;Odontopeltis giganteus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
331;Invertebrados Terrestres;Polydesmida;Chelodesmidae;Sandalodesmus stramineus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
332;Invertebrados Terrestres;Polydesmida;Cryptodesmidae;Peridontodesmella alba;;Em Perigo (EN);Vulnerável (VU);;;;X;;;;;X;;;
333;Invertebrados Terrestres;Polydesmida;Dobrodesmidae;Dobrodesmus mirabilis;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
334;Invertebrados Terrestres;Polydesmida;Pyrgodesmidae;Yporangiella stygius;;Vulnerável (VU);Dados Insuficientes (DD);;;;;;;;;;;X;
335;Invertebrados Terrestres;Pseudoscorpiones;Bochicidae;Spelaeobochica allodentatus;;Criticamente em Perigo (CR);Em Perigo (EN);;;X;;;;;;X;;;
336;Invertebrados Terrestres;Pseudoscorpiones;Bochicidae;Spelaeobochica iuiu;;Criticamente em Perigo (CR);Em Perigo (EN);;;X;;;;;;X;;;
337;Invertebrados Terrestres;Pseudoscorpiones;Bochicidae;Spelaeobochica muchmorei;;Em Perigo (EN);Criticamente em Perigo (CR);;X;;;;;;X;;;;
338;Invertebrados Terrestres;Pseudoscorpiones;Chernetidae;Maxchernes iporangae;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;
339;Invertebrados Terrestres;Pseudoscorpiones;Chernetidae;Spelaeochernes gracilipalpus;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
340;Invertebrados Terrestres;Pseudoscorpiones;Chthoniidae;Pseudochthonius biseriatus;;Criticamente em Perigo (CR);Em Perigo (EN);;;X;;;;;;X;;;
341;Invertebrados Terrestres;Pseudoscorpiones;Ideoroncidae;Ideoroncus cavicola;;Vulnerável (VU);Em Perigo (EN);;;X;;;;;X;;;;
342;Invertebrados Terrestres;Pseudoscorpiones;Olpiidae;Progarypus nigrimanus;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
343;Invertebrados Terrestres;Pulmonata;Bulimulidae;Thaumastus lundi;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
344;Invertebrados Terrestres;Pulmonata;Lymnaeidae;Lymnaea rupestris;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
345;Invertebrados Terrestres;Pulmonata;Odontostomidae;Macrodontes dautzenbergianus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
346;Invertebrados Terrestres;Pulmonata;Physidae;Physa marmorata;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
347;Invertebrados Terrestres;Pulmonata;Planorbidae;Plesiophysa dolichomastix;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
348;Invertebrados de Água Doce;Pulmonata;Streptaxidae;Hypselartemon alveus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
349;Invertebrados Terrestres;Pulmonata;Succineidae;Succinea lopesi;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
350;Invertebrados Terrestres;Schizomida;Hubbardiidae;Rowlandius ubajara;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
351;Invertebrados Marinhos;Scleractinia;Mussidae;Mussismilia braziliensis;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
352;Invertebrados Marinhos;Scleractinia;Mussidae;Mussismilia harttii;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
353;Invertebrados Terrestres;Scolopendromorpha;Cryptopidae;Cryptops iporangensis;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;
354;Invertebrados Terrestres;Scolopendromorpha;Cryptopidae;Cryptops spelaeoraptor;;Vulnerável (VU);Criticamente em Perigo (CR);;X;;;;;;X;;;;
355;Invertebrados Terrestres;Scolopendromorpha;Scolopendridae;Scolopendropsis duplicata;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
356;Invertebrados Terrestres;Scolopendromorpha;Scolopocryptopidae;Newportia potiguar;;;Vulnerável (VU);;;;X;;;;;;X;;
357;Invertebrados Terrestres;Scolopendromorpha;Scolopocryptopidae;Newportia spelaea;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
